keyword,category,industry,source_sheets,search_intent,funnel_stage,primary_or_secondary,target_url,target_page_type,content_type,cluster,seasonality,priority,cannibalization_risk,status,reason
new hire corporate gifts,Joining Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
new joinee corporate kit,Joining Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
new joinee gift kit,Joining Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
startup joining kit,Joining Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
tech employee welcome kit,Joining Kits,All,SEO Keywords,employee gifting,bottom,secondary,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/it-software-saas.
welcome kit for new employees,Joining Kits,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
HR onboarding gift kit India,Joining Kits,All Industries,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
curated employee welcome box India,Joining Kits,All Industries,SEO Keywords,product-specific,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
custom branded onboarding box India,Joining Kits,All Industries,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
employee experience gifting kit,Joining Kits,All Industries,SEO Keywords,product-specific,bottom,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
employee first day welcome kit,Joining Kits,All Industries,SEO Keywords,employee gifting,bottom,secondary,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-onboarding.
employee onboarding kit with personalized note,Joining Kits,All Industries,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
modern employee joining kit India,Joining Kits,All Industries,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
new hire welcome box India,Joining Kits,All Industries,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
personalized new joinee kit India,Joining Kits,All Industries,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
premium new hire onboarding kit,Joining Kits,All Industries,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
AI startup employee welcome kit India,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Technology / SaaS / AI content on /industries/it-software-saas.
IT employee onboarding gift set,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Technology / SaaS / AI content on /industries/it-software-saas.
SaaS employee onboarding kit India,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Technology / SaaS / AI content on /industries/it-software-saas.
developer onboarding kit India,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Technology / SaaS / AI content on /industries/it-software-saas.
hybrid work employee welcome kit,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Technology / SaaS / AI content on /industries/it-software-saas.
new joinee kit for software engineers,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Technology / SaaS / AI content on /industries/it-software-saas.
personalized tech joining kit for employees,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Technology / SaaS / AI content on /industries/it-software-saas.
role based employee onboarding kit,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Technology / SaaS / AI content on /industries/it-software-saas.
startup employee experience welcome kit,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Technology / SaaS / AI content on /industries/it-software-saas.
tech employee welcome kit with laptop accessories,Joining Kits,Technology / SaaS / AI,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,"Describes a product type (""laptop accessories"") that is not in the catalog, which is stationery, pens, journals, folios and planners. Ranking for it would mean publishing specifications for goods we do not sell. Revisit if the range expands."
AI / Tech Startups joining kit,Joining Kits,AI / Tech Startups,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
3 piece banking employee welcome kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
3 piece corporate bfsi joining kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
3 piece personalized banking employee welcome kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
4 piece banking employee welcome kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
4 piece corporate bfsi joining kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
4 piece personalized banking employee welcome kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
5 piece banking employee welcome kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
5 piece corporate bfsi joining kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
5 piece personalized banking employee welcome kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
6 piece banking employee welcome kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
6 piece corporate bfsi joining kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
6 piece personalized banking employee welcome kit,Joining Kits,BFSI,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/bfsi-banking-insurance. Building a page per permutation would create near-identical doorway pages."
BFSI / Insurance joining kit,Joining Kits,BFSI / Insurance,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Banking joining kit,Joining Kits,Banking,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Coaching / EdTech joining kit,Joining Kits,Coaching / EdTech,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
Construction / Infrastructure joining kit,Joining Kits,Construction / Infrastructure,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
3 piece consulting employee welcome kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
3 piece corporate consulting joining kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
3 piece personalized consulting employee welcome kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
4 piece consulting employee welcome kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
4 piece corporate consulting joining kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
4 piece personalized consulting employee welcome kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
5 piece consulting employee welcome kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
5 piece corporate consulting joining kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
5 piece personalized consulting employee welcome kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
6 piece consulting employee welcome kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
6 piece corporate consulting joining kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
6 piece personalized consulting employee welcome kit,Joining Kits,Consulting,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/consulting. Building a page per permutation would create near-identical doorway pages."
Coworking joining kit,Joining Kits,Coworking,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
3 piece corporate e-commerce joining kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
3 piece ecommerce employee welcome kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
3 piece personalized ecommerce employee welcome kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
4 piece corporate e-commerce joining kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
4 piece ecommerce employee welcome kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
4 piece personalized ecommerce employee welcome kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
5 piece corporate e-commerce joining kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
5 piece ecommerce employee welcome kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
5 piece personalized ecommerce employee welcome kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
6 piece corporate e-commerce joining kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
6 piece ecommerce employee welcome kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
6 piece personalized ecommerce employee welcome kit,Joining Kits,E-commerce,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/6-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/6-piece-corporate-gift-sets, with the industry angle covered on /industries/ecommerce-retail. Building a page per permutation would create near-identical doorway pages."
E-commerce joining kit,Joining Kits,E-commerce,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
3 piece corporate edtech joining kit,Joining Kits,EdTech,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/education-edtech. Building a page per permutation would create near-identical doorway pages."
3 piece edtech employee welcome kit,Joining Kits,EdTech,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/education-edtech. Building a page per permutation would create near-identical doorway pages."
3 piece personalized edtech employee welcome kit,Joining Kits,EdTech,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/3-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/3-piece-corporate-gift-sets, with the industry angle covered on /industries/education-edtech. Building a page per permutation would create near-identical doorway pages."
4 piece corporate edtech joining kit,Joining Kits,EdTech,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/education-edtech. Building a page per permutation would create near-identical doorway pages."
4 piece edtech employee welcome kit,Joining Kits,EdTech,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/education-edtech. Building a page per permutation would create near-identical doorway pages."
4 piece personalized edtech employee welcome kit,Joining Kits,EdTech,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/4-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/4-piece-corporate-gift-sets, with the industry angle covered on /industries/education-edtech. Building a page per permutation would create near-identical doorway pages."
5 piece corporate edtech joining kit,Joining Kits,EdTech,SEO Keywords + 3-6 Piece Keywords,employee gifting,bottom,supporting,/gift-sets/5-piece-corporate-gift-sets,collection-landing,landing page copy,gift-sets,evergreen,3,low,consolidated,"One of ~200 {3-6} x {industry} x {kit wording} permutations sharing a single intent. Consolidated onto /gift-sets/5-piece-corporate-gift-sets, with the industry angle covered on /industries/education-edtech. Building a page per permutation would create near-identical doorway pages."
